    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   2                3 4.000e-07 |
  2 |   3                4 4.000e-07 |
  3 |   4                5 3.000e-07 |
  4 |   4                6 4.000e-07 |
  5 |   5                7 1.000e-07 |
  6 |   5                8 2.000e-07 |
  7 |   6                9 1.000e-07 |
  8 |   6               10 2.000e-07 |
  9 |   6               10 2.000e-07 |
 10 |   7               11 3.000e-07 |
 11 |   7               12 7.000e-07 |
 12 |   7               12 5.000e-07 |
 13 |   8               13 3.000e-07 |
 14 |   8               14 3.000e-07 |
 15 |   8               14 2.000e-07 |
 16 |   8               14 3.000e-07 |
 17 |   9               15 2.000e-07 |
 18 |   9               16 2.000e-07 |
 19 |   9               16 2.000e-07 |
 20 |   9               16 3.000e-07 |
 21 |  10               17 8.000e-07 |
 22 |  10               18 3.000e-07 |
 23 |  10               18 3.000e-07 |
 24 |  10               18 2.000e-07 |
 25 |  10               18 3.000e-07 |
 26 |  11               19 2.000e-07 |
 27 |  11               20 3.000e-07 |
 28 |  11               20 3.000e-07 |
 29 |  12               21 2.000e-07 |
 30 |  12               22 3.000e-07 |
 31 |  12               22 3.000e-07 |
 32 |  13               23 2.000e-07 |
 33 |  13               24 3.000e-07 |
 34 |  13               24 3.000e-07 |
 35 |  14               25 3.000e-07 |
 36 |  14               26 3.000e-07 |
 37 |  14               26 3.000e-07 |
 38 |  15               27 3.000e-07 |
 39 |  15               28 3.000e-07 |
 40 |  15               28 3.000e-07 |
 41 |  15               28 3.000e-07 |
 42 |  16               29 3.000e-07 |
 43 |  16               30 3.000e-07 |
 44 |  16               30 3.000e-07 |
 45 |  16               30 5.000e-07 |
 46 |  17               31 5.000e-07 |
 47 |  17               32 4.000e-07 |
 48 |  17               32 4.000e-07 |
 49 |  17               32 4.000e-07 |
 50 |  18               33 4.000e-07 |
 55 |  20               38 1.000e-06 |
 60 |  23               43 7.000e-07 |
 65 |  25               48 6.000e-07 |
 70 |  27               51 6.000e-07 |
 75 |  28               54 6.000e-07 |
 80 |  29               56 6.000e-07 |
 85 |  30               58 6.000e-07 |
 90 |  31               60 6.000e-07 |
 95 |  34               71 9.000e-07 |
100 |  36               77 8.000e-07 |
110 |  41               86 2.000e-06 |
120 |  43               91 1.500e-06 |
130 |  45               95 1.000e-06 |
140 |  47               99 1.000e-06 |
150 |  49              103 1.200e-06 |
160 |  53              113 1.200e-06 |
170 |  58              123 1.400e-06 |
180 |  62              131 1.300e-06 |
190 |  64              135 1.300e-06 |
200 |  66              139 1.400e-06 |
220 |  73              153 2.500e-06 |
240 |  81              169 2.300e-06 |
260 |  85              177 2.000e-06 |
280 |  92              193 2.300e-06 |
300 | 100              209 3.000e-06 |
320 | 105              223 2.500e-06 |
340 | 115              245 2.700e-06 |
360 | 119              254 2.600e-06 |
380 | 124              264 2.700e-06 |
400 | 133              287 3.000e-06 |
420 | 138              298 9.800e-06 |
440 | 143              308 4.700e-06 |
460 | 151              323 3.700e-06 |
480 | 156              334 3.300e-06 |
500 | 161              347 3.400e-06 |
520 | 170              365 3.600e-06 |
540 | 174              374 3.700e-06 |
560 | 181              390 7.000e-06 |
580 | 188              405 4.100e-06 |
600 | 192              413 4.000e-06 |
620 | 199              434 4.500e-06 |
640 | 207              450 4.300e-06 |
660 | 212              462 4.600e-06 |
680 | 218              475 4.700e-06 |
700 | 226              491 7.300e-06 |
720 | 231              503 5.300e-06 |
740 | 240              524 5.200e-06 |
760 | 245              533 5.100e-06 |
780 | 248              540 5.400e-06 |
800 | 256              556 5.500e-06 |
--- + --- ---------------- --------- +
