    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   2               10 5.000e-07 |
  2 |   3               13 5.000e-07 |
  3 |   4               16 3.000e-07 |
  4 |   4               19 3.000e-07 |
  5 |   5               22 2.000e-07 |
  6 |   5               25 2.000e-07 |
  7 |   6               28 3.000e-07 |
  8 |   6               31 2.000e-07 |
  9 |   6               31 3.000e-07 |
 10 |   7               34 3.000e-07 |
 11 |   7               37 1.100e-06 |
 12 |   7               37 3.000e-07 |
 13 |   8               40 3.000e-07 |
 14 |   8               43 2.000e-07 |
 15 |   8               43 2.000e-07 |
 16 |   8               43 2.000e-07 |
 17 |   9               46 2.000e-07 |
 18 |   9               49 2.000e-07 |
 19 |   9               49 2.000e-07 |
 20 |   9               49 2.000e-07 |
 21 |  10               52 8.000e-07 |
 22 |  10               55 5.000e-07 |
 23 |  10               55 3.000e-07 |
 24 |  10               55 3.000e-07 |
 25 |  10               55 3.000e-07 |
 26 |  11               58 2.000e-07 |
 27 |  11               61 3.000e-07 |
 28 |  11               61 3.000e-07 |
 29 |  12               64 3.000e-07 |
 30 |  12               67 3.000e-07 |
 31 |  12               67 3.000e-07 |
 32 |  13               70 2.000e-07 |
 33 |  13               73 3.000e-07 |
 34 |  13               73 2.000e-07 |
 35 |  14               76 3.000e-07 |
 36 |  14               79 3.000e-07 |
 37 |  14               79 3.000e-07 |
 38 |  15               82 3.000e-07 |
 39 |  15               85 3.000e-07 |
 40 |  15               85 3.000e-07 |
 41 |  15               85 4.000e-07 |
 42 |  16               88 3.000e-07 |
 43 |  16               91 3.000e-07 |
 44 |  16               91 3.000e-07 |
 45 |  16               91 5.000e-07 |
 46 |  17               94 6.000e-07 |
 47 |  17               97 4.000e-07 |
 48 |  17               97 4.000e-07 |
 49 |  17               97 4.000e-07 |
 50 |  18              100 4.000e-07 |
 55 |  20              115 1.100e-06 |
 60 |  23              130 8.000e-07 |
 65 |  25              145 5.000e-07 |
 70 |  27              154 6.000e-07 |
 75 |  28              163 5.000e-07 |
 80 |  29              169 6.000e-07 |
 85 |  30              175 6.000e-07 |
 90 |  31              181 7.000e-07 |
 95 |  34              214 9.000e-07 |
100 |  36              232 8.000e-07 |
110 |  41              259 1.900e-06 |
120 |  43              274 1.400e-06 |
130 |  45              286 1.100e-06 |
140 |  47              298 1.000e-06 |
150 |  49              310 1.100e-06 |
160 |  53              340 1.200e-06 |
170 |  58              370 1.400e-06 |
180 |  62              394 1.300e-06 |
190 |  64              406 1.300e-06 |
200 |  66              418 1.400e-06 |
220 |  73              460 3.200e-06 |
240 |  81              508 2.300e-06 |
260 |  85              532 2.000e-06 |
280 |  92              580 2.300e-06 |
300 | 100              628 7.600e-06 |
320 | 105              670 2.400e-06 |
340 | 115              736 2.700e-06 |
360 | 119              763 2.600e-06 |
380 | 124              793 2.600e-06 |
400 | 133              862 2.900e-06 |
420 | 138              895 9.400e-06 |
440 | 143              925 4.100e-06 |
460 | 151              970 3.500e-06 |
480 | 156             1003 3.200e-06 |
500 | 161             1042 3.300e-06 |
520 | 170             1096 3.600e-06 |
540 | 174             1123 3.600e-06 |
560 | 181             1171 6.600e-06 |
580 | 188             1216 3.900e-06 |
600 | 192             1240 3.800e-06 |
620 | 199             1303 4.300e-06 |
640 | 207             1351 4.200e-06 |
660 | 212             1387 4.400e-06 |
680 | 218             1426 4.600e-06 |
700 | 226             1474 7.000e-06 |
720 | 231             1510 4.800e-06 |
740 | 240             1573 5.200e-06 |
760 | 245             1600 4.900e-06 |
780 | 248             1621 5.200e-06 |
800 | 256             1669 5.300e-06 |
--- + --- ---------------- --------- +
