    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   2                3 5.000e-07 |
  2 |   3                4 5.000e-07 |
  3 |   4                5 3.000e-07 |
  4 |   4                6 3.000e-07 |
  5 |   5                7 2.000e-07 |
  6 |   5                8 2.000e-07 |
  7 |   6                9 1.000e-07 |
  8 |   6               10 2.000e-07 |
  9 |   6               10 3.000e-07 |
 10 |   7               11 3.000e-07 |
 11 |   7               12 9.000e-07 |
 12 |   7               12 4.000e-07 |
 13 |   8               13 3.000e-07 |
 14 |   8               14 3.000e-07 |
 15 |   8               14 2.000e-07 |
 16 |   8               14 2.000e-07 |
 17 |   9               15 2.000e-07 |
 18 |   9               16 2.000e-07 |
 19 |   9               16 2.000e-07 |
 20 |   9               16 3.000e-07 |
 21 |  10               17 9.000e-07 |
 22 |  10               18 4.000e-07 |
 23 |  10               18 3.000e-07 |
 24 |  10               18 3.000e-07 |
 25 |  10               18 4.000e-07 |
 26 |  11               19 3.000e-07 |
 27 |  11               20 3.000e-07 |
 28 |  11               20 4.000e-07 |
 29 |  11               20 5.000e-07 |
 30 |  11               20 4.000e-07 |
 31 |  12               21 4.000e-07 |
 32 |  12               22 3.000e-07 |
 33 |  12               22 2.000e-07 |
 34 |  13               23 3.000e-07 |
 35 |  13               24 3.000e-07 |
 36 |  13               24 4.000e-07 |
 37 |  14               25 3.000e-07 |
 38 |  14               26 3.000e-07 |
 39 |  14               26 3.000e-07 |
 40 |  15               27 3.000e-07 |
 41 |  15               28 3.000e-07 |
 42 |  15               28 3.000e-07 |
 43 |  15               28 4.000e-07 |
 44 |  16               29 4.000e-07 |
 45 |  16               30 3.000e-07 |
 46 |  16               30 4.000e-07 |
 47 |  16               30 4.000e-07 |
 48 |  17               31 3.000e-07 |
 49 |  17               32 4.000e-07 |
 50 |  17               32 4.000e-07 |
 55 |  19               36 1.400e-06 |
 60 |  22               41 9.000e-07 |
 65 |  24               46 6.000e-07 |
 70 |  26               49 6.000e-07 |
 75 |  27               52 6.000e-07 |
 80 |  28               54 1.000e-06 |
 85 |  29               56 1.100e-06 |
 90 |  30               58 1.200e-06 |
 95 |  32               65 1.500e-06 |
100 |  35               71 1.300e-06 |
110 |  39               80 4.000e-06 |
120 |  42               85 1.300e-06 |
130 |  44               90 1.000e-06 |
140 |  46               94 1.000e-06 |
150 |  48               98 1.100e-06 |
160 |  52              109 1.200e-06 |
170 |  57              119 1.200e-06 |
180 |  60              126 1.200e-06 |
190 |  62              130 1.300e-06 |
200 |  64              134 1.400e-06 |
220 |  71              147 2.800e-06 |
240 |  78              162 2.500e-06 |
260 |  82              170 2.000e-06 |
280 |  89              185 2.000e-06 |
300 |  97              201 2.000e-06 |
320 | 101              209 2.100e-06 |
340 | 110              228 2.300e-06 |
360 | 115              238 8.800e-06 |
380 | 119              246 2.900e-06 |
400 | 129              269 2.900e-06 |
420 | 134              280 5.400e-06 |
440 | 139              290 5.100e-06 |
460 | 147              306 3.700e-06 |
480 | 153              317 3.200e-06 |
500 | 159              332 8.100e-06 |
520 | 167              348 3.700e-06 |
540 | 171              356 3.500e-06 |
560 | 179              374 3.800e-06 |
580 | 186              389 3.800e-06 |
600 | 190              397 3.800e-06 |
620 | 197              411 7.100e-06 |
640 | 204              426 4.200e-06 |
660 | 208              434 4.500e-06 |
680 | 215              449 4.500e-06 |
700 | 223              465 5.000e-06 |
720 | 228              476 4.700e-06 |
740 | 237              498 7.400e-06 |
760 | 242              507 5.400e-06 |
780 | 245              514 5.400e-06 |
800 | 255              536 5.800e-06 |
--- + --- ---------------- --------- +
