    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   2               10 5.000e-07 |
  2 |   3               13 4.000e-07 |
  3 |   4               16 4.000e-07 |
  4 |   4               19 4.000e-07 |
  5 |   5               22 2.000e-07 |
  6 |   5               25 2.000e-07 |
  7 |   6               28 2.000e-07 |
  8 |   6               31 6.000e-07 |
  9 |   6               31 3.000e-07 |
 10 |   7               34 2.000e-07 |
 11 |   7               37 6.000e-07 |
 12 |   7               37 3.000e-07 |
 13 |   8               40 2.000e-07 |
 14 |   8               43 2.000e-07 |
 15 |   8               43 2.000e-07 |
 16 |   8               43 2.000e-07 |
 17 |   9               46 2.000e-07 |
 18 |   9               49 2.000e-07 |
 19 |   9               49 2.000e-07 |
 20 |   9               49 3.000e-07 |
 21 |  10               52 7.000e-07 |
 22 |  10               55 4.000e-07 |
 23 |  10               55 3.000e-07 |
 24 |  10               55 3.000e-07 |
 25 |  10               55 4.000e-07 |
 26 |  11               58 3.000e-07 |
 27 |  11               61 3.000e-07 |
 28 |  11               61 4.000e-07 |
 29 |  11               61 4.000e-07 |
 30 |  11               61 3.000e-07 |
 31 |  12               64 3.000e-07 |
 32 |  12               67 3.000e-07 |
 33 |  12               67 3.000e-07 |
 34 |  13               70 3.000e-07 |
 35 |  13               73 3.000e-07 |
 36 |  13               73 3.000e-07 |
 37 |  14               76 2.000e-07 |
 38 |  14               79 3.000e-07 |
 39 |  14               79 3.000e-07 |
 40 |  15               82 3.000e-07 |
 41 |  15               85 3.000e-07 |
 42 |  15               85 3.000e-07 |
 43 |  15               85 3.000e-07 |
 44 |  16               88 4.000e-07 |
 45 |  16               91 3.000e-07 |
 46 |  16               91 4.000e-07 |
 47 |  16               91 3.000e-07 |
 48 |  17               94 3.000e-07 |
 49 |  17               97 4.000e-07 |
 50 |  17               97 4.000e-07 |
 55 |  19              109 1.100e-06 |
 60 |  22              124 8.000e-07 |
 65 |  24              136 6.000e-07 |
 70 |  25              145 5.000e-07 |
 75 |  26              151 5.000e-07 |
 80 |  27              157 5.000e-07 |
 85 |  28              163 6.000e-07 |
 90 |  29              169 7.000e-07 |
 95 |  31              181 7.000e-07 |
100 |  34              199 8.000e-07 |
110 |  38              226 1.600e-06 |
120 |  41              244 1.000e-06 |
130 |  43              256 9.000e-07 |
140 |  45              268 1.000e-06 |
150 |  47              280 1.100e-06 |
160 |  50              298 1.100e-06 |
170 |  55              328 1.500e-06 |
180 |  59              352 1.200e-06 |
190 |  61              364 1.200e-06 |
200 |  63              376 1.300e-06 |
220 |  70              421 2.500e-06 |
240 |  78              469 2.200e-06 |
260 |  82              493 1.800e-06 |
280 |  89              532 1.900e-06 |
300 |  96              577 2.000e-06 |
320 | 100              601 2.100e-06 |
340 | 109              658 2.200e-06 |
360 | 114              688 8.100e-06 |
380 | 118              712 2.600e-06 |
400 | 128              775 2.700e-06 |
420 | 133              808 4.000e-06 |
440 | 138              838 3.300e-06 |
460 | 146              886 3.100e-06 |
480 | 151              916 3.000e-06 |
500 | 158              955 7.200e-06 |
520 | 166             1006 3.300e-06 |
540 | 170             1030 3.300e-06 |
560 | 177             1090 3.400e-06 |
580 | 184             1132 3.500e-06 |
600 | 188             1156 3.400e-06 |
620 | 195             1198 6.500e-06 |
640 | 202             1243 4.100e-06 |
660 | 207             1276 3.900e-06 |
680 | 213             1318 4.300e-06 |
700 | 221             1366 4.200e-06 |
720 | 225             1390 4.300e-06 |
740 | 234             1450 6.900e-06 |
760 | 239             1480 4.800e-06 |
780 | 243             1501 5.100e-06 |
800 | 252             1558 5.200e-06 |
--- + --- ---------------- --------- +
